,Name,Sectors,Assets
65,IEF,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",24743938048
66,TIP,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",23039995904
67,SCHB,"[{'realestate': 0.0359}, {'consumer_cyclical': 0.106300004}, {'basic_materials': 0.0272}, {'consumer_defensive': 0.0651}, {'technology': 0.2328}, {'communication_services': 0.0722}, {'financial_services': 0.141}, {'utilities': 0.0232}, {'industrials': 0.0953}, {'energy': 0.0498}, {'healthcare': 0.1441}]",21559203840
68,GOVT,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",21701826560
69,IUSB,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",20863504384
70,MDY,"[{'realestate': 0.0862}, {'consumer_cyclical': 0.1434}, {'basic_materials': 0.0547}, {'consumer_defensive': 0.0405}, {'technology': 0.1282}, {'communication_services': 0.0198}, {'financial_services': 0.14930001}, {'utilities': 0.0286}, {'industrials': 0.1911}, {'energy': 0.044699997}, {'healthcare': 0.1041}]",19895400448
71,JEPI,"[{'realestate': 0.028099999}, {'consumer_cyclical': 0.058000002}, {'basic_materials': 0.028199999}, {'consumer_defensive': 0.1121}, {'technology': 0.0796}, {'communication_services': 0.0395}, {'financial_services': 0.1376}, {'utilities': 0.081099994}, {'industrials': 0.1346}, {'energy': 0.028800001}, {'healthcare': 0.1195}]",20059140096
72,ESGU,"[{'realestate': 0.0317}, {'consumer_cyclical': 0.1022}, {'basic_materials': 0.024600001}, {'consumer_defensive': 0.0701}, {'technology': 0.25280002}, {'communication_services': 0.0694}, {'financial_services': 0.1312}, {'utilities': 0.0277}, {'industrials': 0.0904}, {'energy': 0.0523}, {'healthcare': 0.1451}]",20041523200
73,ACWI,"[{'realestate': 0.0274}, {'consumer_cyclical': 0.1071}, {'basic_materials': 0.0494}, {'consumer_defensive': 0.075100005}, {'technology': 0.1918}, {'communication_services': 0.073}, {'financial_services': 0.16450001}, {'utilities': 0.026099999}, {'industrials': 0.0999}, {'energy': 0.0537}, {'healthcare': 0.1252}]",19572088832
74,VGSH,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",23338600448
75,QUAL,"[{'realestate': 0.028499998}, {'consumer_cyclical': 0.1028}, {'basic_materials': 0.0279}, {'consumer_defensive': 0.0738}, {'technology': 0.2015}, {'communication_services': 0.0805}, {'financial_services': 0.17379999}, {'utilities': 0.028900001}, {'industrials': 0.093}, {'energy': 0.0496}, {'healthcare': 0.14060001}]",18816266240
76,SHV,"[{'realestate': 0}, {'consumer_cyclical': 0}, {'basic_materials': 0}, {'consumer_defensive': 0}, {'technology': 0}, {'communication_services': 0}, {'financial_services': 0}, {'utilities': 0}, {'industrials': 0}, {'energy': 0}, {'healthcare': 0}]",19167123456
